Theta,Phi,Value
1.5708,2.82743,0
1.5708,2.90597,0
1.5708,2.98451,0
1.5708,3.06305,0
1.5708,3.14159,0
1.72788,0,-0
1.72788,0.0785398,-4.02541e-05
1.72788,0.15708,-6.92442e-05
1.72788,0.235619,-9.47782e-05
1.72788,0.314159,-9.28802e-05
1.72788,0.392699,-7.96174e-05
1.72788,0.471239,-8.03546e-05
1.72788,0.549779,-0
1.72788,0.628319,-0
1.72788,0.706858,-0
1.72788,0.785398,-0
1.72788,0.863938,-0
1.72788,0.942478,-0
1.72788,1.02102,-0
1.72788,1.09956,-0
1.72788,1.1781,-0
1.72788,1.25664,-0
1.72788,1.33518,-0
1.72788,1.41372,-0
1.72788,1.49226,-0
1.72788,1.5708,-0
1.72788,1.64934,0
1.72788,1.72788,0
1.72788,1.80642,0
1.72788,1.88496,0
1.72788,1.9635,0
1.72788,2.04204,0
1.72788,2.12058,0
1.72788,2.19911,0
1.72788,2.27765,0
1.72788,2.35619,0
1.72788,2.43473,0
1.72788,2.51327,0
1.72788,2.59181,0
1.72788,2.67035,0
1.72788,2.74889,0
1.72788,2.82743,0
1.72788,2.90597,0
1.72788,2.98451,0
1.72788,3.06305,0
1.72788,3.14159,0
1.88496,0,-0
1.88496,0.0785398,-6.25865e-05
1.88496,0.15708,-9.92067e-05
1.88496,0.235619,-0.000136342
1.88496,0.314159,-0.000146694
1.88496,0.392699,-0.000125822
1.88496,0.471239,-0.000105906
1.88496,0.549779,-0
1.88496,0.628319,-0
1.88496,0.706858,-0
1.88496,0.785398,-0
1.88496,0.863938,-0
1.88496,0.942478,-0
1.88496,1.02102,-0
1.88496,1.09956,-0
1.88496,1.1781,-0
1.88496,1.25664,-0
1.88496,1.33518,-0
1.88496,1.41372,-0
1.88496,1.49226,-0
1.88496,1.5708,-0
1.88496,1.64934,0
1.88496,1.72788,0
1.88496,1.80642,0
1.88496,1.88496,0
1.88496,1.9635,0
1.88496,2.04204,0
1.88496,2.12058,0
1.88496,2.19911,0
1.88496,2.27765,0
1.88496,2.35619,0
1.88496,2.43473,0
1.88496,2.51327,0
